year,new_hpv_screens,new_poc_hpv_screens,new_ave_screens,new_via_screens,new_thermal_ablations,new_leeps,new_cancer_treatments,new_cancers,new_cancer_deaths,new_other_deaths,av_age_cancers,av_age_cancer_deaths,av_age_other_deaths,location,seed,primary,triage,precin,cin1,cin2,cin3,cancerous,ltfu,scen_label
2037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17806.337951660156,10034.0224609375,2742308.5,47.19353485107422,55.453678131103516,,nigeria,1,,,,,,,,,No screening
2038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18904.039306640625,10402.378662109375,2884324.75,47.78970718383789,55.614845275878906,,nigeria,1,,,,,,,,,No screening
2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18668.291442871094,10350.808837890625,2830220.5,47.121612548828125,55.521278381347656,,nigeria,1,,,,,,,,,No screening
2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19913.335388183594,11205.395751953125,2920696.0,47.79587173461914,56.01803970336914,,nigeria,1,,,,,,,,,No screening
2041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19559.713134765625,11234.86376953125,2893813.5,47.90264892578125,56.42780685424805,,nigeria,1,,,,,,,,,No screening
2042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21092.07537841797,12546.21240234375,3027725.75,47.89530944824219,55.160099029541016,,nigeria,1,,,,,,,,,No screening
2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21217.316650390625,12686.18798828125,3004335.0,48.07292938232422,55.40227127075195,,nigeria,1,,,,,,,,,No screening
2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21828.78778076172,12988.240234375,3067081.0,48.42226791381836,56.135963439941406,,nigeria,1,,,,,,,,,No screening
2045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22307.650756835938,12796.694580078125,3102119.0,47.6240348815918,55.72121810913086,,nigeria,1,,,,,,,,,No screening
2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22683.374450683594,12656.719482421875,3187577.5,47.30424880981445,56.824188232421875,,nigeria,1,,,,,,,,,No screening
